chrstrandcoord,gene,dry_seed1,dry_seed2,dry_seed3,endosperm1,endosperm2,endosperm3,imbibed_seed1,imbibed_seed2,imbibed_seed3,shoot1,shoot2,shoot3,leaf_20days1,leaf_20days2,leaf_20days3,leaf_60days1,leaf_60days2,leaf_60days3,stem_60days1,stem_60days2,stem_60days3,root_5days1,root_5days2,root_5days3,root_60days1,root_60days2,root_60days3,husk1,husk2,husk3,anther1,anther2,anther3,mature_pollen1,mature_pollen2,mature_pollen3,pistil1,pistil2,pistil3,embryo1,embryo2,embryo3
Chr1-1174704,LOC_Os01g03070,46,10,47,15,22,3,67,26,15,22,18,9,7,7,5,15,22,28,22,16,14,13,63,131,6,26,21,33,30,36,84,42,24,3,7,6,39,27,1,27,16,28
Chr1-1173237,LOC_Os01g03070,6,3,1,1,5,10,0,0,1,1,1,1,0,1,0,0,0,0,2,2,2,5,6,4,2,1,2,5,5,5,2,1,2,0,0,0,3,4,1,19,12,12
Chr1-1174951,LOC_Os01g03070,163,248,122,109,181,56,175,215,102,85,132,104,59,60,80,50,54,62,62,71,77,172,170,182,77,98,100,203,217,185,143,69,101,21,26,2,140,104,121,162,311,278
Chr1-1172599,LOC_Os01g03070,45,10,18,20,12,8,10,13,15,18,6,22,5,5,2,7,8,9,11,8,8,9,31,25,0,4,9,21,11,20,23,34,14,12,9,12,33,29,19,27,22,19
Chr1-1174111,LOC_Os01g03070,1,5,3,2,1,0,0,0,2,0,1,1,0,0,0,0,0,0,1,1,1,2,3,0,1,1,1,9,9,8,6,2,6,0,0,0,1,1,2,5,0,2
Chr1-1171901,LOC_Os01g03070,142,234,67,173,181,145,303,226,198,197,197,192,124,217,3,106,104,74,181,186,195,226,229,235,152,162,174,127,184,126,165,160,152,65,0,31,246,261,260,373,357,356
Chr1+1748439,LOC_Os01g04020,840,914,833,1097,1257,1230,6123,4155,3742,702,567,534,919,910,904,1945,1866,2060,2343,2193,2665,544,590,585,487,551,529,1497,1344,1731,1255,1261,1235,1373,1445,785,1835,2425,1924,1451,1446,1418
Chr1+1747007,LOC_Os01g04020,16,2,1,2,6,2,4,1,8,3,6,4,8,1,10,3,5,5,6,8,10,0,1,0,7,4,7,5,5,4,7,3,6,0,0,0,13,5,2,1,7,16
Chr1+2637830,LOC_Os01g05530,21,30,34,7,19,43,31,29,32,100,110,103,27,29,49,29,42,32,39,37,36,74,82,83,69,22,46,52,49,49,83,63,104,11,1,2,87,91,73,70,78,44
Chr1+2638097,LOC_Os01g05530,2,5,1,0,0,0,9,10,11,5,25,11,6,11,10,12,5,0,4,5,9,28,26,28,6,4,5,14,4,18,18,13,8,0,0,0,12,12,11,0,4,5
Chr1+4907092,LOC_Os01g09570,1,2,1,3,0,4,0,2,5,0,0,0,0,6,3,1,1,1,1,1,2,1,6,2,5,6,6,2,6,6,3,0,0,0,0,0,4,1,5,3,3,3
Chr1+4909380,LOC_Os01g09570,199,221,203,178,138,116,91,120,131,136,136,170,551,607,568,250,340,296,168,167,168,188,224,205,216,173,134,202,247,245,70,103,87,44,101,32,128,144,143,226,224,192
Chr1+5412761,LOC_Os01g10280,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,1,1,1,3,2,2,1,0,1,1,0,0,0,0,0,0,1,4,0,2,4,6,2,1,0
Chr1+5412697,LOC_Os01g10280,9,13,0,3,3,11,4,2,2,0,2,0,0,0,1,4,2,6,0,1,0,0,3,0,0,1,1,10,5,0,0,2,0,0,0,0,0,1,2,10,10,10
Chr1+5412511,LOC_Os01g10280,1,1,1,2,3,1,0,1,3,1,0,9,4,1,0,3,4,3,2,2,3,6,3,4,5,3,2,0,3,4,0,1,2,1,8,4,3,6,14,1,1,1
Chr1-8413904,LOC_Os01g15010,328,247,407,509,464,487,520,533,577,150,157,160,246,242,309,108,113,116,166,166,172,258,250,231,171,183,191,282,275,274,126,117,121,81,150,121,154,134,157,449,453,427
Chr1-8418112,LOC_Os01g15010,1,4,2,1,0,1,2,5,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,16,8,2,1,2,0,0,0,2,3,2,4,4,2
Chr1-8414591,LOC_Os01g15010,7,9,12,5,6,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4,2
Chr1+8763456,LOC_Os01g15600,307,304,393,329,370,281,301,281,299,313,215,340,181,175,181,190,189,222,171,191,160,308,306,305,246,257,203,247,255,246,124,130,113,165,82,139,188,208,183,236,236,236
Chr1+8763772,LOC_Os01g15600,11,11,10,19,22,28,7,3,7,1,3,3,3,5,7,12,9,9,6,5,6,8,15,14,11,6,6,0,5,3,0,1,0,0,0,0,1,1,1,27,8,22
Chr1+8792379,LOC_Os01g15630,308,356,351,383,354,367,153,166,170,117,117,115,229,226,214,203,202,195,154,149,180,147,137,152,219,218,213,150,152,155,170,130,142,13,78,48,168,218,191,321,318,319
Chr1+8787268,LOC_Os01g15630,4,0,6,6,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
Chr1+8791159,LOC_Os01g15630,6,6,6,18,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,0,0,0,0,0,1,0,0,0,0,0,0,4,9,9
Chr1+16056254,LOC_Os01g28680,17,19,14,19,19,26,27,14,25,69,100,93,259,210,256,468,462,528,167,124,169,164,181,136,278,323,402,138,134,129,37,42,34,28,106,32,9,14,8,17,16,15
Chr1+16053083,LOC_Os01g28680,0,0,0,0,0,0,0,0,2,0,2,1,3,3,4,4,5,5,0,1,1,3,0,1,3,3,6,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0
