chrstrandcoord,gene,dry_seed1,dry_seed2,dry_seed3,endosperm1,endosperm2,endosperm3,imbibed_seed1,imbibed_seed2,imbibed_seed3,shoot1,shoot2,shoot3,leaf_20days1,leaf_20days2,leaf_20days3,leaf_60days1,leaf_60days2,leaf_60days3,stem_60days1,stem_60days2,stem_60days3,root_5days1,root_5days2,root_5days3,root_60days1,root_60days2,root_60days3,husk1,husk2,husk3,anther1,anther2,anther3,mature_pollen1,mature_pollen2,mature_pollen3,pistil1,pistil2,pistil3,embryo1,embryo2,embryo3
Chr1-2063614,LOC_Os01g04600,1,2,2,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,1,0,0,1,0,2,0,0,0,68,50,24,2,4,0,2,0,1
Chr1-2063684,LOC_Os01g04600,2,3,3,8,18,17,1,2,0,1,1,0,0,0,0,2,1,0,0,0,0,1,0,1,1,1,1,2,0,1,1,1,2,0,0,0,6,6,5,3,6,5
Chr1+4122380,LOC_Os01g08400,6,9,18,23,17,24,32,6,6,37,38,40,6,23,3,17,22,19,8,25,22,34,49,53,56,67,84,28,33,34,26,28,29,50,71,65,68,40,40,10,11,9
Chr1+4122268,LOC_Os01g08400,31,43,37,59,59,48,31,26,31,29,52,48,17,19,36,32,20,36,22,21,23,37,58,59,83,82,67,39,53,54,69,75,47,0,159,253,42,53,43,40,35,35
Chr1+4122580,LOC_Os01g08400,3,5,2,4,2,2,5,4,0,8,3,8,0,0,0,3,1,0,1,0,0,7,2,8,3,1,3,2,5,3,1,1,1,0,0,0,0,1,2,0,0,0
Chr1+4118711,LOC_Os01g08400,22,20,12,21,16,6,11,18,8,2,2,4,6,6,1,4,7,7,2,2,2,3,2,5,8,7,8,0,0,2,8,3,6,0,0,0,6,6,4,2,1,3
Chr1+4121171,LOC_Os01g08400,1,2,1,2,0,2,1,0,2,3,0,2,1,0,0,0,1,1,2,1,2,1,2,0,0,2,0,1,0,0,2,3,3,22,7,12,2,1,0,1,0,2
Chr1+4259547,LOC_Os01g08560,899,883,1055,794,982,914,555,652,678,573,583,581,346,314,370,101,88,92,117,110,107,814,856,819,352,344,366,372,368,364,258,268,364,341,568,368,363,401,390,757,723,725
Chr1+4257267,LOC_Os01g08560,5,6,5,0,2,5,1,3,6,4,1,0,0,0,0,0,0,0,0,0,0,1,3,3,1,1,4,4,5,6,0,0,0,0,0,1,0,0,0,7,17,3
Chr1+4378872,LOC_Os01g08750,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,1,0,1,4,1,1,1,0,0,1,2,2,2,0,0,0,0,1,1,0,0,0
Chr1+4393108,LOC_Os01g08750,2,10,4,1,5,10,0,0,0,1,0,0,1,2,1,5,3,1,0,0,0,0,0,1,1,2,0,2,2,2,3,3,1,0,0,0,1,2,1,0,1,3
Chr1+4393393,LOC_Os01g08750,184,216,193,125,107,123,108,52,8,53,49,56,75,103,101,51,51,83,77,69,100,64,38,50,51,44,42,60,73,58,152,157,159,73,36,38,51,80,54,130,101,100
Chr1+4375522,LOC_Os01g08750,35,7,1,5,7,0,8,8,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,7,7
Chr1-4738981,LOC_Os01g09320,0,0,0,8,2,1,9,6,9,0,0,0,2,1,1,4,13,5,1,4,0,1,1,0,15,16,15,3,9,9,6,4,5,0,0,0,1,0,2,0,0,0
Chr1-4739277,LOC_Os01g09320,314,256,252,321,273,373,317,342,369,245,250,262,678,719,702,600,582,575,674,714,633,219,226,224,986,914,845,452,476,485,196,199,196,87,172,235,259,247,245,289,297,295
