chrstrandcoord,gene,dry_seed1,dry_seed2,dry_seed3,endosperm1,endosperm2,endosperm3,imbibed_seed1,imbibed_seed2,imbibed_seed3,shoot1,shoot2,shoot3,leaf_20days1,leaf_20days2,leaf_20days3,leaf_60days1,leaf_60days2,leaf_60days3,stem_60days1,stem_60days2,stem_60days3,root_5days1,root_5days2,root_5days3,root_60days1,root_60days2,root_60days3,husk1,husk2,husk3,anther1,anther2,anther3,mature_pollen1,mature_pollen2,mature_pollen3,pistil1,pistil2,pistil3,embryo1,embryo2,embryo3
Chr1-1089988,LOC_Os01g02940,6,11,4,0,1,1,17,22,27,117,112,126,6,5,6,1,2,0,0,0,0,111,120,113,36,29,27,37,55,43,46,35,43,71,6,24,65,86,95,13,23,22
Chr1-1090107,LOC_Os01g02940,0,0,0,0,0,0,0,0,0,4,13,12,0,0,0,0,0,0,0,0,0,14,15,21,3,6,7,1,0,1,0,3,4,0,0,0,2,0,1,0,0,0
Chr1-1089872,LOC_Os01g02940,18,32,31,9,7,3,33,32,33,120,122,125,20,13,20,0,0,1,2,1,1,126,89,103,34,39,42,59,46,39,26,33,41,16,4,4,88,70,88,19,19,17
Chr1+3360789,LOC_Os01g07120,26,25,27,18,16,17,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,2,2,1,1,0,4,1,2,1,1,0,2,0,0,0,0,1,1,18,17,18
Chr1+3358566,LOC_Os01g07120,2,4,0,11,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
Chr1+3358104,LOC_Os01g07120,13,1,10,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,2,0,2,2,2,2
Chr1+3361206,LOC_Os01g07120,17,19,19,35,4,18,12,22,26,2,3,0,0,1,1,5,6,5,2,0,3,0,0,1,7,7,7,0,2,2,2,1,4,5,0,2,5,6,5,28,32,15
Chr1+3358427,LOC_Os01g07120,122,123,121,160,152,164,121,29,67,10,15,16,23,10,15,30,30,20,26,27,33,31,25,14,82,86,82,39,36,45,38,39,39,15,10,2,44,47,52,166,134,133
Chr1+3361303,LOC_Os01g07120,3,3,6,13,15,4,1,1,2,0,2,1,0,0,0,4,4,4,0,6,5,3,1,4,7,7,6,5,4,5,0,0,1,0,0,0,2,0,1,3,2,4
Chr1+3357038,LOC_Os01g07120,7,9,5,2,0,0,3,2,5,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,0,0,0,0,3,0,0,0,0,2,3,0,1,1,3
Chr1-9004353,LOC_Os01g16000,14,17,2,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,2,0,0,0,0,0,0,0,0,0,9,7,11,0,0,0,9,7,8
Chr1-9004545,LOC_Os01g16000,413,386,388,832,583,614,75,130,156,97,128,78,47,56,71,64,77,75,69,97,90,146,130,151,142,158,169,121,115,118,77,75,72,0,24,0,106,106,99,365,367,366
Chr1-9004727,LOC_Os01g16000,7,9,4,6,5,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4
Chr1-9004444,LOC_Os01g16000,5,1,7,5,4,3,4,9,10,0,0,0,2,2,3,0,0,0,0,0,0,4,1,4,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,2,1,2
Chr1-9004649,LOC_Os01g16000,437,407,369,407,437,441,89,83,86,17,16,16,1,8,2,17,13,12,8,14,11,30,16,35,12,10,12,25,15,14,34,26,33,0,0,0,25,26,27,382,353,365
Chr1-9004105,LOC_Os01g16000,5,7,6,0,0,1,6,5,5,0,0,0,1,2,6,2,1,0,0,0,0,1,1,4,0,2,0,1,0,0,3,2,0,0,0,0,2,0,0,3,6,4
Chr1-9694150,LOC_Os01g16960,1,3,1,1,6,5,15,10,8,1,0,3,2,0,1,1,2,0,0,0,1,2,4,2,5,3,1,2,0,0,11,1,10,2,7,2,2,2,2,2,1,4
Chr1-9694035,LOC_Os01g16960,16,9,8,14,3,10,27,12,15,2,0,0,0,0,0,0,1,0,0,0,0,2,1,3,1,1,2,2,0,2,4,0,1,40,5,24,1,3,2,5,34,22
Chr1-9694473,LOC_Os01g16960,43,28,31,55,17,19,584,627,710,82,58,72,38,34,12,24,24,28,20,39,32,210,201,183,122,155,116,119,119,123,663,619,652,663,308,1328,36,35,50,55,62,68
Chr1-9694227,LOC_Os01g16960,2,6,4,0,0,0,11,27,0,0,0,0,5,0,2,0,0,0,0,1,1,6,7,3,2,1,2,5,0,6,13,10,9,5,1,2,1,2,0,0,0,0
Chr1+11742794,LOC_Os01g21034,0,0,0,0,0,0,3,2,2,2,6,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,1,9,16,2,2,2,0,0,0,24,38,36,0,0,0
Chr1+11748499,LOC_Os01g21034,0,0,0,0,0,0,2,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,6,0,7,0,0,0,4,3,4,2,3,2
